x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030
100,3.3913252,0,0,0,0,0.33100525,0.26839846,1.3457128,0.8399992,0,7.3133883,0,2.5986645,1.4091576,2.9736402,0.46497425,0.9275654,2.4943466,0,4.392863,1.7400649,2.7853467,6.6678977,0.9994609,0,1.5245281,0,0,0,3.8477323,4.5245867
101,0,0,2.3998806,0,0,1.8087617,1.0873739,1.4226276,0,0,1.2310169,2.6024673,0,0,2.169667,1.9684614,2.1983128,0,0,0,0,0.47116694,0,0,2.6909866,0,0,0.014650673,0,0.44294006,0
102,0,0.3595482,0,0,0,0,0,0,0,3.7190099,0,1.1275775,2.732987,3.1322799,1.6281978,0,0,2.3187938,0,1.8277481,3.4077814,0.5677699,0,0.5193697,0,0,0,7.2129107,0.049079455,0.5810592,0
103,1.6642218,0,3.9336376,0,0,0,0,5.4854503,2.7809112,1.5930427,0,1.4933829,0,0,0,0,0,0,0,1.7337272,0,7.169728,0,1.0931699,0,0,0.115102135,0,0,0.38064173,0
104,0,0,0,0,0,0,0,0,0,4.953128,0,0,0.5563151,0,1.1119715,1.7332493,0,0,0,0,0.67991847,0,3.1473079,0,0,0,0,0.19476362,0,0,2.8609223
105,2.1786041,0,0,0,0,0,0,0,0,4.0325,0,2.9008746,0,0,0,3.2670617,1.832256,0,0,0,0,0,2.7015038,0,0,0,0,0,0.024747388,0,0
106,0,0,1.3641284,3.3979614,1.6956444,0,0,0,0,7.6684394,0,0,0,0,0,2.7291045,0.016768096,0,4.6065583,0,0,0,0,0,2.98841,1.9379057,1.4887494,0,1.4623919,1.8434507,0.0897409
107,0.1857285,0,0,1.5905311,4.5578094,3.4866016,0.014556199,0,0,8.626053,1.2068487,0,1.7953539,3.7514145,0.36585993,0,2.9455814,0,0,0,0,0,0,0.14674918,0,1.783781,4.2942543,0,0,0,0
108,0,14.535004,0,0.2389819,2.6342032,0,0,0,1.5771397,0,0,0,13.4054785,0,0.14227541,0,4.30683,0.6342599,0,0,3.2152503,0,0,0,0,0,0,0.9313981,0,0,0
109,0,1.919479,0,0,0,3.1361554,0,0,0,0,2.9964018,0.4786805,2.651137,0,0.26701984,1.5451797,0,1.8943213,0,2.1913202,2.017868,1.1119957,0,3.3862643,0,0,0,0,5.4774313,0,1.6007946
