x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031
436,3.1914387,5.23976,3.22365,0,0.09351107,0,0,0,0,1.3283323,0,0,0.35720637,0.18652886,3.1686819,0,0,0.48012245,0,0,0,6.4641986,0,0,1.1889791,0,3.5164537,0,0,6.2675858,1.2573086,0
437,2.8833027,1.1420664,0,0,1.4664232,0,0,13.023385,0,2.4420025,0,12.555964,0,1.1232383,3.8225882,0,0,0,0,0,0,8.193487,0,0,0,2.5540714,3.9687998,0,0.99996,0,0,3.9084406
438,0,0,1.9418753,0,0.67098415,0,2.0507457,0,0,1.6108087,0,0,1.6060411,0,0,0,0,0,0,5.3658156,0,0,1.1212589,1.3473948,1.3920767,0,0,0,0,0,1.2083875,3.6386652
439,0,0,0.2584263,3.3281324,0.4810305,0,0,0.930182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22890134,0,3.5745816,1.2986723
440,1.7998725,0,0,0,0,0,0,6.144688,1.9991552,0,0.3669783,2.6450627,0,0,0,0,2.7772877,4.454373,1.1614571,0,6.0521865,10.439012,0,0,0,0,0,0,0,0,0,0
441,0,0,0.9683629,1.0799361,3.8087997,6.54448,0,12.277312,6.66235,0.3883524,3.0208888,5.4128475,0,0.74398994,0,0,1.239117,0,0,0,0,0,0,2.2174702,0,0,0,0,2.5136228,0.1782166,0,0
442,0,4.0868506,0,0,0,5.194878,0,2.8570526,0,0.81629497,0,9.88636,0,1.8779875,0,0,6.437619,4.606081,0,0,0,9.072351,1.6839639,0,0,2.1524763,4.61823,6.9514394,2.7679887,1.3680657,0.4599113,0
443,0,0,0,0,1.280319,0,0,0,0,0,0,0,0,0.38882318,0,6.1039124,3.0528734,0,0,0.7709838,0,0,0,0,0.03666167,0,0,0,0,0,4.3264456,0
444,0.3772561,1.2541711,0,2.0921302,0.19235636,0,0,0,0,0,0,0,0,0,0,0,0.04133626,0,8.580133,0,20.753397,0,0.98629856,0,0,0,0.0836989,0,0,0,0,0
445,0,0,0,0.37211886,0,0,0,0,0,0,7.1207986,4.7197537,20.64475,0,4.655235,0,0,0,4.0147395,0,11.875364,0,0,0,0,0,0,0,0,0,0,2.1829286
446,0,0.2933343,0,0,0,0,4.943662,0,0,0,0,0,3.7688034,0,0,4.2212625,0,0,5.572722,0,13.538039,0,1.3086383,0,0,0,0,7.558696,0,0,0,0
447,0,0,0,0,0,0,0.8780734,0,0,0,3.718938,0,1.710631,0,0,0,1.8100413,0,1.5047514,5.1975813,4.1412416,0,0,0,0,0.012631204,0,0,0,0,1.0576092,0
448,0,0,3.7317336,3.6410182,0,0,0,0,3.7156518,3.8552196,0,3.9819396,0,0.54883283,1.633109,0,0,1.0360389,0,2.2760715,0,6.4781327,2.3762794,3.093815,0.3763422,0.17066954,0,0,5.7538486,0.5183318,3.532845,0
449,2.3645282,0,0,0,3.007528,8.140081,0,0,0,0,0,7.6914425,0.22579254,0,2.5307655,6.364211,0,4.792411,0,0,0,0,0,0,0,0,3.7145698,0,0,1.4643445,2.9257386,0.8065352
450,0.59950346,2.535002,3.2968779,0,0,3.4380605,0.25667238,0,3.213382,4.0745125,3.6116467,0.60753334,0,0,0,0,1.4809345,1.413702,0,0,0,6.556566,0,0,3.4003415,2.7790105,1.6679294,3.1220279,0,0.20224892,0,0
451,0,0.4489351,1.6473197,0,0.28459796,0,0,0,0,0,0,3.371592,0,0,0,1.4517256,0,5.260343,0,13.892084,0,0,0,5.075545,1.842352,1.6586269,3.062851,0,1.756178,0,0.9284753,4.0233974
452,1.4631181,0,0.2846547,0,1.6772858,7.6499677,0,20.594975,1.4655228,0.6588965,0,2.8738325,0,0.84644026,0.825953,0,0.7551866,0,0,0,0,8.448712,0,3.063307,0,0,0,0.44980067,0.4921752,0,3.8641016,0
453,0,3.8933327,2.438756,0,0,0,0,0,4.288712,0,1.371584,7.562887,0,0,0,0,1.0550436,4.6580243,0,0,0,0,0,0,0,0.95150876,3.6992128,0,0,0,0.06284765,0
454,0,0,1.901608,0,1.7877911,7.788007,0.071636386,0,0,0,0,0,0.4980868,0.9417182,0,6.750472,0,0,0,2.6228278,0,0.4142295,0,5.1356354,1.651275,0,4.9090714,0,0,0,2.4046252,0
