x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028
540,0.09681687,0.29787722,0,0,0.6465835,0.04825572,0,0,0,0.10670716,0,0,0,0,0,0,0,0,0.52974325,0,1.6053694,0,0,0,1.223593,0,0,0,0
541,0,0.010226737,0,0.019065306,1.8402786,0,1.380816,1.2497103,0,0,0.30662757,0,1.0568988,0.80667657,0,0,0,0,6.6454477,0,0,0,0.2686128,0,0.24988121,0,0.998787,1.9024544,0
542,0,0.88210696,0.04638575,0,0,0.08483392,0,0,0.80379397,0,0,0,0,0,1.5066923,0,0.16842487,1.3433077,2.203698,0.07333116,0,0,1.149545,0,0,0,0,0,0
543,0,0,0.25996855,0,0.42272767,0,0,2.373757,0,0,1.3359792,0,1.257504,0.2839722,0.38286436,3.0448148,2.244571,0,0,0,3.4659297,0.44162938,1.389601,0,0,5.815316,0,0,0
544,0.007229273,0.10809485,0.2791876,0.38439882,1.3056122,0.8042749,0,0,0.25649735,0.44883722,0,0,0,0,1.3268418,0.071389124,0,0,2.5203133,0,0,0,0.6483348,0.22499438,0,0,0,0,0
545,0.67893213,0.9627763,0,0.557869,0,0.73800695,6.3433843,0,0,0.8418035,0.5111978,2.2417703,0.27681497,1.6070797,0.80180717,0.93746257,0,0,0,0,0,0,0,1.4061307,0,5.413841,0.44222194,0,0
546,0,0,0,0.41644716,1.221734,0,0,0.33380926,0.11117615,0,0.12195537,2.4455655,0,0.54474413,2.734288,0,0,0.5411008,0,0,0,0,0,1.7302023,0.1740601,0,1.7871678,0,0.5046054
547,0.26761484,0.2482032,0,0,0.07643635,0.07446967,0,2.9156427,1.6607591,0,0,1.5782077,0,0,0.75811255,0,0,0,6.779219,0,0,0.1837881,0,0.5167514,0.5441352,0,0,0.5689807,0.58419496
548,0,0,0,0,0.64631325,2.1125362,3.1384728,0,0.51771957,0.23453592,2.1000204,0,0,0,0,0,0,0,0,0,0,0,1.9241616,0,0,0,1.1495756,0.9423376,0
549,0,1.6841352,0,0.21929327,0,0,0,0,0,0.25721666,0.052065395,0,0.6399356,0.43992308,0,0,0,1.2905878,0,0.38101107,4.898743,0.3749061,1.3419952,0,0,0,0,0,0
550,0,0,0,0,0,0.9493788,0,0,0.6159819,0,0,1.6356766,0,0,0,0,0.0276391,0,0,0,0.8729095,0,0,0,1.1624323,0.8537852,0,0,0
551,0,0.9415238,0,0.7148102,2.1826503,0.68053746,0,0,0,0.45346636,0,0,1.028533,0,0,0,0,0.5788337,2.4986167,0,0,0,0,0,0,0,1.1489953,0,0
552,0,0,0.06976549,0,0,0.8221325,0.72871137,0,1.1791528,0.058578745,0,0,1.187304,0,0,0.91118234,1.4399719,0,0,0,0,0,0.9708166,0.6137958,0.27016032,0.066452645,0,0,0.449019
553,0,0,0,0,0,0,0,3.985781,0,0,0.44649512,1.0247955,0,1.1514721,0,1.3125004,0,0.3288183,0,0,0,0.82843935,0,0.43129617,0,0,0,0.90965086,0
554,0,0,0,0,0,0,0,0,0,0.023356339,0,0.76417756,0.26098156,0,2.3745463,3.1106594,0,0.10114035,0,0.30320576,0,0,0,0,0,0.36824104,0,0,0.961774
555,0.65657765,0,0.12542169,0,0,0.8749862,0,0,1.4402276,0.63206214,0.90736735,0.2516662,0,0,0,1.6700925,0,0.6454267,0,0,0,0.90061164,0,0,0.014200364,0,0,0,0
556,3.365366,0.66388994,0,0.073117375,0.45782664,1.3875195,2.244851,0,0.7601645,0,1.7539905,0,0.85395604,0,0,0,1.9210744,0.09597313,0,1.2510432,5.580757,1.4601326,0.699489,0,0,0,0,1.3677387,0.80326456
557,1.0251988,0,0.2634738,0.8070723,0.33337176,0,1.1209058,0,0,0,0,0.7985843,0,0,0.7398141,4.359514,0.7053482,0,0,0.8824914,0,1.2276471,0,2.2580855,0,0,0,0,0
